"date","month_year","site_name","site_num","lat","lon","red_green","green_red"
2019-02-10,Feb 2019,"Middle Shoals",104,13.4483167,144.6588333,0.88170865279299,1.13416149068323
2019-02-10,Feb 2019,"Blue Hole",65,13.4357833,144.6275167,0.947108066971081,1.05584572117316
2019-02-10,Feb 2019,"Middle Shoals",148,13.44925,144.65735,0.833153928955867,1.20025839793282
2019-02-10,Feb 2019,"Middle Shoals",177,13.4496833,144.6569666,0.911308203991131,1.09732360097324
2019-02-10,Feb 2019,"Middle Shoals",171,13.44955,144.657067,0.815227483751161,1.22665148063781
2019-02-10,Feb 2019,"Middle Shoals",128,13.44905,144.6566,0.831858407079646,1.20212765957447
2019-02-10,Feb 2019,"Blue Hole",68,13.4359,144.6261666,0.893643031784841,1.11901504787962
2019-02-10,Feb 2019,"Blue Hole",57,13.435333,144.6271166,0.908782350445482,1.10037348272642
2019-02-10,Feb 2019,"Blue Hole",56,13.4353167,144.6265167,1.14746325272641,0.871487603305785
2019-02-10,Feb 2019,"Blue Hole",63,13.4356833,144.6262667,0.951943167572085,1.05048287971905
2019-02-10,Feb 2019,"Orote Point",140,13.4492,144.6261666,0.627858627858628,1.59271523178808
2019-02-10,Feb 2019,"Orote Point",117,13.4488333,144.6262167,0.623376623376623,1.60416666666667
2019-02-10,Feb 2019,"Blue Hole",62,13.4356833,144.625,0.834415584415584,1.19844357976654
2019-02-10,Feb 2019,"Orote Point",196,13.4500167,144.6246833,0.610278372591006,1.63859649122807
2019-02-10,Feb 2019,"Blue Hole",80,13.4362167,144.6258,1.01169134840218,0.9884437596302
2019-02-10,Feb 2019,"Orote Point",184,13.4497667,144.6245833,0.597014925373134,1.675
2019-02-10,Feb 2019,"Orote Point",185,13.4497833,144.62465,0.597014925373134,1.675
2019-02-10,Feb 2019,"Orote Point",191,13.44993,144.62448,0.597894736842105,1.67253521126761
2019-02-10,Feb 2019,"Orote Point",195,13.4499667,144.6239666,0.572916666666667,1.74545454545455
2019-02-10,Feb 2019,"Orote Point",192,13.44995,144.6243833,0.613588110403397,1.62975778546713
2019-02-10,Feb 2019,"Orote Point",143,13.4492167,144.6278666,0.632295719844358,1.58153846153846
2019-02-10,Feb 2019,"Orote Point",152,13.4492833,144.6278167,0.632887189292543,1.58006042296072
