ID,UNIQUEID,POLYGONID,AREA,PERIMETER,ACRES,ISLAND,M_STRUCT,D_STRUCT,M_COVER,P_COVER,ZONE,COVER_TYPE,_Pleasecou,_Pleasesum,_Pleasemea,Site Name,Longitude,Latitude,intersection_area
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6748,13.4472,"4576"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6743,13.4486,"7389"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6748,13.4465,"5677"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6738,13.4492,"679"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6739,13.4492,"1647"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6741,13.4496,"6131"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6741,13.4492,"4194"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6741,13.4496,"6131"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6744,13.447,"1101"
"2663","2663","613",332344.703,12508.747,82.122,Guam,Coral Reef and Hardbottom,Pavement,Turf,50%-<90%,Reef Flat,Turf 50%-<90%,,,,Sasa Bay,144.6742,13.4499,"8298"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6244,13.45,"24311"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6249,13.4504,"35569"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6257,13.4492,"23759"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6261,13.4491,"26847"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6264,13.449,"28584"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.626,13.4488,"19684"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Middle Shoals,144.6571,13.4495,"25888"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Middle Shoals,144.6589,13.4482,"27728"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Middle Shoals,144.6571,13.4493,"27763"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Middle Shoals,144.6571,13.4493,"27763"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Middle Shoals,144.6572,13.4492,"27589"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Middle Shoals,144.6569,13.4487,"36183"
