"plate","well_position","sample","sample_old","field_collection_month","site","filter_half","target","Cq","quantity","positive","dCq"
"P20190530_HH_FebMarch2019FC","G14","201902_MS_7a","20190228_MS_7a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G15","201902_MS_8a","20190228_MS_8a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G16","201902_MS_8a","20190228_MS_8a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G17","201902_MS_9a","20190228_MS_9a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G18","201902_MS_9a","20190228_MS_9a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G19","201902_MS_10a","20190228_MS_10a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G20","201902_MS_10a","20190228_MS_10a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G21","201902_MS_ECa","20190228_MS_ECa",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G22","201902_MS_ECa","20190228_MS_ECa",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G23","201902_MS_EBa","20190228_MS_EBa",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","G24","201902_MS_EBa","20190228_MS_EBa",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","H1","201902_MS_1a","20190228_MS_1a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","H2","201902_MS_1a","20190228_MS_1a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","H3","201902_MS_2a","20190228_MS_2a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","H4","201902_MS_2a","20190228_MS_2a",Feb 2019,"Middle Shoals","a","Slew12S_FR3",NA,NA,0,NA
